term document_frequency
maximum 111
number 1003
trigger 97
conrail' 24
poison 24
pill 12
anti-takeov 5
complet 640
second 1065
remain 1172
subject 179
termin 79
agreement 613
action 510
opportun 518
reassert 8
control 831
corpor 592
coerciv 5
tactic 43
pressur 545
approv 604
csx' 16
inferior 9
david 444
good 1164
statement 840
joint 476
affect 169
today' 87
announc 1269
chang 1111
fact 302
csx-conrail 10
receiv 593
100 405
swai 18
pretti 217
savvi 12
thing 600
they'r 266
put 254
monei 729
tabl 107
swing 38
momentum 109
bit 267
anthoni 49
hatch 19
natwest 78
york 712
rose 725
50 653
$89 2
$1 251
$101.50 1
gain 809
37.5 35
$44.375 1
nyse 44
independ 553
advisori 77
firm 1214
urg 234
railroad' 6
maryland-bas 5
institut 449
servic 1242
iss 2
renegoti 12
pact 177
month 2063
critic 446
dec 88
23 190
delai 305
controversi 211
exclus 74
prohibit 77
parti 648
suitor 44
1999 162
u. 1688
district 121
court 399
judg 157
upheld 16
challeng 296
waiver 11
door 170
open 944
woo 39
oppos 233
newspap 499
advertis 194
bought 323
 2921
read 122
ad 781
high 1077
paid 316
attack 234
settl 165
lower 800
assum 86
equiti 360
risk 294
long-troubl 3
solid 132
wast 79
mid-american 2
system 1019
wednesdai 1336
bankruptci 77
sign 707
sell 956
asset 629
fast-grow 66
usa 49
canal 15
winchest 4
ohio-bas 23
suffer 274
string 75
loss 850
stem 122
huge 514
appetit 26
develop 1187
project 556
peopl 1355
familiar 70
highli 223
leverag 48
situat 338
lose 351
melvil 3
codi 2
william 173
mackai 6
jordan 9
&amp; 696
houston-bas 15
$180 11
chapter 32
11 390
mid-american' 2
proce 137
sale 1428
combin 450
retain 184
total 1079
$227 1
compar 776
$323 5
long-term 342
gene 19
meredith 3
staff 244
unavail 23
interrupt 32
collect 132
process 567
cut 918
cost 1289
continu 1456
unabl 113
flow 235
sold 463
atlanta 51
year 3882
ago 817
republ 164
diversifi 81
florida 84
led 465
billionair 45
wayn 60
huizenga 14
amid 210
intens 157
fragment 45
mark 466
latest 479
annual 734
revenu 792
1990 241
estim 882
$2 128
clearli 257
maintain 380
junctur 6
michael 301
hoffman 9
cs 28
boston 87
recommend 189
1997 1241
$1.70 7
$1.65 8
increas 1362
1998 455
$2.15 20
$2.05 3
anticip 192
add 273
return 785
phone 274
involv 607
pitch 45
upcom 44
10 1027
common 212
target 602
$400 66
exclud 208
week' 86
$518 4
canadian 344
alli 135
save 364
overlap 52
integr 245
septemb 542
sanifil 2
$1.6 42
posit 1018
nation' 284
third-largest 26
top 945
post 620
browning-ferri 3
fast 162
$34.125 3
43.75 5
healthcar 58
oil 250
bigger 188
1997' 7
boom 174
activ 744
domin 351
telecommun 349
util 227
insur 331
sector 753
airlin 222
verg 26
deal 1304
frenzi 19
grip 62
america 391
pace 142
slow 339
1996' 18
record 708
reason 492
cycl 112
keevil 2
salomon 95
brother 202
$658.8 2
worth 545
1996 1371
surpass 38
initi 526
figur 678
compil 34
data 387
newark 6
n.j.-base 8
track 268
driver 71
current 1357
trend 250
high-fli 18
coupl 214
stress 147
cost-cut 57
look 122
blown 10
it' 1222
hard 366
better 713
feel 274
real 434
steven 57
wolitz 3
partner 554
co-head 4
lehman 70
pipelin 107
potenti 589
appear 538
full 586
we'r 541
level 970
profit 1521
buyback 61
robert 274
lovejoi 2
lazard 13
frere 9
pro-act 3
step 584
gener 1285
value-enhanc 2
realiz 23
count 108
boost 710
bruce 43
nolop 2
wasserstein 8
perella 7
feder 463
deregul 98
drive 324
rang 585
biggest 782
plai 410
year' 378
pharmaceut 66
hospit 99
health 247
mainten 56
organ 124
predict 429
energi 214
spent 205
form 491
allianc 276
divest 51
properti 308
aggress 242
seller 85
refin 92
plagu 50
poor 234
margin 418
prospect 376
hover 38
inevit 70
amr 22
corp' 124
american 587
subsidiari 232
british 1207
airwai 104
plc 722
wide-reach 2
partnership 157
resolut 103
battl 340
lock 86
war 453
seek 579
cv 10
revco 7
d. 7
creat 657
drugstor 8
powerhous 81
northeast 46
southeast 60
near-term 41
industry' 99
dozen 142
small 591
publicli 103
privat 448
chain 180
scoop 13
join 370
combat 64
leader 793
walgreen 2
rite 28
aid 181
j.c 20
penney' 5
thrift 19
come 420
marti 4
murrer 2
donaldson 29
lufkin 29
jenrett 26
sector' 28
arbor 7
drug 186
genoves 2
store 309
duan 7
cite 277
sweep 84
signal 242
final 528
tumultu 5
twinsburg 4
$1.8 50
friendli 53
collaps 167
april 454
regul 497
contend 78
antitrust 54
issu 1358
consum 707
hostil 146
big 1040
southeastern 19
rebuff 8
struck 88
$380 7
octob 482
react 73
revco-cv 1
2-1/2 22
40-1/2 1
afternoon 231
$2.8 24
40 433
cvs' 3
expand 488
geograph 57
concern 775
disclos 128
growth 1060
300 249
reloc 21
great 379
structur 282
go 1099
addit 491
eric 53
bosshard 6
midwest 31
research-maxu 5
group 2074
viabl 51
confirm 378
marriag 30
prosper 53
dwayn 15
hoven 3
co-chairman 22
sam 42
zell 3
zell' 4
chilmark 2
fund 790
lp 16
hold 1022
19.2 11
merg 302
broke 134
stockhold 30
fuel 177
separ 381
busi 2054
competit 904
conglomerate' 4
divis 343
fiercer 4
expans 291
unexpectedli 30
difficult 389
erod 47
dramat 169
rival 648
prepar 382
world' 613
best-known 17
knick 5
sheraton 8
madison 10
squar 152
garden 20
highest-qu 1
bottom 145
raab 3
collin 10
contribut 275
vulner 62
regularli 38
reach 720
undervalu 45
14-1/4 2
56-7/8 2
knowledg 62
oper 1724
admit 147
giant 584
falter 33
path 43
earmark 24
$2.5 34
lost 500
balli 3
construct 199
setback 51
high-stak 5
bacarrat 1
la 80
vega 21
rememb 48
public 810
attent 179
shrink 54
identifi 313
strategi 427
well 1257
focus 263
problem 903
avoid 216
strong 1022
background 60
overse 81
three-wai 11
presid 1173
bowman 6
extrem 145
team 299
work 1213
behind-the-desk 1
kind 227
ceo 64
gui 75
who' 16
live 286
breath 42
intellect 6
perspect 32
tout 47
futur 1026
entic 19
less-than-favor 1
unfair 42
overshadow 32
respect 180
bjorn 2
hanson 32
cooper 297
lybrand 12
session 180
feb 56
14 396
respond 184
jim 101
gallagh 5
indic 446
dai 1232
saturdai 215
turn 632
request 191
tuesday' 63
permit 128
present 164
fax 68
letter 176
inappropri 17
sharpli 204
25 515
flew 43
london 650
european 592
right 457
brand 355
unit 1693
ladbrok 14
name 404
attend 158
mid-week 6
downplai 10
discuss 505
ventur 460
plate 9
side 496
senior 573
vice 391
affair 235
marc 16
grossman 3
told 2129
sponsor 64
montgomeri 41
detail 540
hf 7
henri 46
silverman 3
interview 912
search 141
licens 163
trademark 22
franchis 106
preliminari 113
evolv 34
previou 387
automot 102
estat 160
sweeten 41
clinch 46
term 861
reduc 495
member 667
commun 830
blast 56
definit 144
wait 315
equit 17
peter 291
gleason 4
$870 12
convert 125
prefer 198
$16 30
tender 90
20.1 6
base 1145
thursday' 62
$104 5
$9.5 18
$10 114
$110-per-shar 1
set 1233
guarante 214
speedi 34
payment 300
clear 572
regulatori 243
hurdl 68
establish 289
encourag 266
exit 70
decid 481
hammer 75
night 173
defend 182
extens 140
pact' 3
prevent 230
messag 108
aw 25
altern 142
period 612
attornei 122
legal 393
forthcom 30
bump 26
point 855
pricei 15
sens 166
afford 103
1430 5
est/1930 1
gmt 249
1-1/2 25
100-1/2 1
hick 2
muse 3
tate 11
furst 2
food 288
product 1567
$1.3 52
renam 24
packag 242
conveni 35
chef 6
boyarde 2
pasta 6
pizza 14
mix 200
dinner 16
kits; 1
pam 2
cook 29
sprai 16
franklin 7
crunch 18
'n 1
munch 1
glaze 2
popcorn; 1
polan 2
fruit 50
spread 160
spices; 1
gulden' 1
mustard; 1
ranch 1
style 58
beans; 1
dennison' 1
chili; 1
luck' 1
ro-tel 1
tomato 5
chili 1
products; 1
jiffi 1
pop 18
maypo 1
wheatena 1
hot 149
cereals; 1
washington 315
broth 2
foodservic 3
label 27
$1.2 50
consist 156
proven 38
approach 320
build 769
except 155
superb 6
platform 91
buy-and-build 1
levitt 4
seven-year-old 11
gobbl 11
mexican 17
intend 206
start 991
grow 758
intern 1383
dallas-bas 10
firm' 63
largest 1007
dairi 12
morningstar 2
1991 138
1992 177
campfir 2
marshmallow 2
angela 6
marie' 2
march 722
ghirardelli 2
chocol 22
buyout 38
specialist 105
lee 120
abil 198
provid 837
help 1081
focu 415
gross 202
rodman 10
renshaw 7
mario 10
corso 3
that' 362
2-5 2
cowen 23
ian 86
sanderson 4
products' 2
$1.125 27
$60.125 3
late 808
laggard 8
pretax 171
18 312
22 198
home' 1
premarin 2
hormon 4
replac 374
therapi 16
medic 119
devic 125
advil 1
pain 88
reliev 35
$500 92
peak 178
rapamun 1
bone 15
factor 300
effexor 2
anti-depress 5
road 159
reassess 14
uhl 1
adt 8
$3.5 22
western 381
resourc 289
inadequ 25
bidder 153
bona 3
fide 3
reflect 380
fair 178
favour 370
mail 104
north 474
america' 117
juli 552
8 104
determin 242
attempt 321
27.1 4
lai 105
groundwork 20
spokeswoman 262
elabor 82
review 337
adt' 5
boca 8
raton 7
fla.-bas 10
monitor 116
commerci 471
residenti 68
1.7 39
custom 817
second-largest 54
vehicl 242
auction 101
27 175
centr 378
$22.50 7
premier 141
$25 51
$30 70
slate 58
$29 18
apart 95
uncertainti 191
republic' 34
volatil 126
electron 373
grown 97
increasingli 249
face 688
heighten 35
era 96
believ 419
capitalis 117
impair 12
amalgam 2
numer 39
condit 472
fulfil 49
question 540
support 719
notion 21
nationwid 107
interest 1205
electr 253
power 783
kansa 19
region 809
desir 111
western' 3
financ 675
one-tim 66
charg 740
tax 414
$50 63
limelight 14
autom 39
enhanc 133
technolog 632
infrastructur 164
bring 495
$23 29
$31.50 5
draw 121
corner 34
fight 259
take 219
place 656
cours 198
va 24
revis 141
extra 182
friday' 99
$9.3 9
$102 12
reuter 1433
hope 856
hour 284
unveil 278
rebuf 14
$10.5 11
economi 480
charl 96
vincent 21
pnc 10
two-month 15
fit 183
preserv 70
aspect 61
rule 924
bananaa 3
break 307
lock-up 6
trader 367
refer 340
board' 27
hear 176
jan 126
9 113
hearing' 2
outcom 120
matter 266
win 399
site 254
vehement 12
scrutini 61
surfac 94
transport 298
agenc 399
you'r 103
opposit 281
shipper 17
express 334
opinion 149
stage 375
port 143
author 590
jersei 31
interven 40
$100 160
$43.375 1
87.5 23
$89.25 1
payabl 23
daili 301
rise 1022
fall 677
result 530
reaffirm 25
agre 805
levan 11
walk 117
doubt 260
appropri 108
accomplish 34
object 174
acceler 134
deadlin 149
mid-1997 67
ground 269
unchang 176
outstand 145
1.85619 6
17 223
extend 265
oct 80
15 590
rail 61
freight 112
east 303
coast 143
$1.875 20
$100.875 1
$1.25 36
$44 16
$2.25 17
$88.50 1
applic 231
john 558
snow 27
french 310
cgip 3
cap 83
gemini 5
option 334
pass 249
baton 6
ernest-antoin 3
seillier 3
willing 38
germany' 90
daimler-benz 37
ag 320
24.4 3
german 135
stai 282
forev 14
wait-and-se 6
limit 459
timet 74
novemb 464
cgip' 3
criteria 42
dedic 33
weigh 87
discount 211
despit 685
51 90
jump 405
33 115
biolog 8
diagnost 18
biomerieux 1
nich 61
field 191
converg 21
sort 201
consider 190
abras 1
pellet 1
wheelabrator-allevard 1
bureau 265
verita 2
earli 1069
end 583
car 265
part 271
maker 408
valeo 3
sa 141
italian 38
businessman 78
carlo 40
de 251
benedetti 6
marketplac 99
cash-and-stock 7
thrown 38
victori 122
case 515
hing 49
broad 136
discret 8
yablon 3
professor 80
cardozo 3
univers 236
push 473
envelop 14
advantag 247
leewai 8
justifi 60
prevail 39
pnc' 3
$99.875 4
$43.25 3
$89.50 3
defenc 264
csx/conrail 3
unseat 1
accret 16
world-class 13
health-car 9
retail 417
eckerd 4
pennei 19
$3.3 9
leadership 192
pharmaci 6
entiti 49
countri 879
managed-car 1
environ 161
stronger 211
strengthen 212
patient 54
revco' 4
mail-ord 7
1,000 107
layoff 59
ohio 66
headquat 1
disput 268
unfortun 18
98 21
emploi 130
honor 7
sever 168
transit 254
tyco 8
standard 364
plumb 8
suppli 451
air 310
condition 3
histor 172
brownel 2
manufactur 330
contact 172
decemb 606
date 63
5 153
februari 417
standard' 2
conclud 107
carri 423
contempl 25
doubl 320
secondari 48
repurchas 58
piscatawai 1
n.j 20
parent 159
produc 634
trane 1
ideal 46
wabco 1
brake 31
exet 1
n.h 3
$150 64
$200 70
speak 224
happi 135
insist 157
tyco' 4
meant 173
steep 55
premium 194
$40.25 3
suspend 192
journal 53
$2.375 15
$42.625 1
12.5 86
$54.75 2
fifth-largest 8
$900 17
eastern 144
half 815
4,000 53
$13 33
outlet 91
elimin 176
headquart 184
phase 106
employe 326
woonsocket 1
r.i 1
leav 414
intent 151
care 164
locat 153
middl 151
atlant 108
equival 71
$40.64 1
$38 18
$3.375 7
$41.375 1
heavi 389
$3.125 6
$47.125 1
acknowledg 124
began 370
cvs-revco 1
goeograph 1
address 201
describ 269
formal 225
lo 85
angel 81
bollenbach' 1
januari 520
31 310
low 532
$65 18
in-depth 9
analysi 56
obtain 18
negoti 473
proxi 34
$8.5 16
studi 260
$100.375 3
$1.375 23
$86.375 1
reschedul 5
enter 327
third 723
fierc 108
prize 78
motor 255
hugh 79
aircraft 194
raytheon 17
stock-and-debt 1
major 1560
northrop 8
grumman 8
missil 75
$21 26
127,000 1
contractor 48
boe 132
mcdonnel 69
dougla 91
lockhe 34
martin 199
denni 64
picard 1
statment 4
gm 113
jack 73
smith 126
aim 664
unlock 20
respons 452
rapidli 143
landscap 37
swallow 27
radar 30
1970 71
traffic 149
el 29
segundo 2
calif 93
tomahawk 1
cruis 27
air-to-air 2
fighter 49
jet 106
stinger 3
anti-aircraft 2
lexington 2
mass 131
patriot 48
compet 328
contract 470
texa 79
instrument 76
inc.' 61
$2.95 1
amana 1
applianc 19
beech 1
reveal 156
specif 207
edward 79
jone 99
fiala 4
spin 44
outright 33
and/or 12
engin 293
$5.1 5
$4.4 23
newli 70
complic 102
tax-fre 18
spin-off 44
holder 74
gm' 90
class 119
$1-2/3 4
par-valu 3
finish 168
gm-relat 2
30 973
perent 3
post-merg 9
dilut 101
non-defens 1
automak 151
1985 39
delco 8
hughes' 7
delphi 18
brought 236
umbrella 12
1980 201
then-gm 1
roger 41
smith' 5
grand 67
scheme 130
fuse 6
aerospac 101
automobil 40
relat 326
new 1154
delphi-delco 1
lucr 110
space 154
satellit 174
directv 16
broadcast 247
harri 55
pearc 3
pois 73
rapid 114
armstrong 17
transfer 208
telcom 3
unit' 16
35.2 2
$193.5 1
$2.89 2
$189.2 1
$3.09 6
$688 3
$6 48
$1.50 28
$48.50 3
$60.375 1
ti 283
perform 612
ownership 162
$62.625 3
recapit 4
link 449
sole 70
felt 118
impos 186
high-growth 7
area 788
crucial 167
corp.' 151
$9.2 3
desper 34
confus 93
sting 5
reel 23
deni 252
block 277
three-month 27
prompt 210
essenti 139
mixtur 22
confid 451
guard 97
talli 19
succe 104
influenc 184
tough 274
thom 10
brown 136
rutherford 11
catherwood 10
uncommit 3
find 513
'shame 1
us' 1
fulli 200
understood 33
spoke 69
firmli 55
commit 319
bind 28
appel 8
argument 83
highly-frag 4
rate 995
spurn 4
2-month-old 2
equal 154
constitu 29
supplier 226
serv 285
banana 5
drag 115
realis 106
co 76
want 349
$3.9 7
ralli 145
4 152
3-1/4 2
43-1/2 2
midafternoon 10
54-5/8 1
bank 1100
heat 89
emul 14
nationsbank' 2
nation 1092
norwest 5
banc 7
super-region 5
shop 202
nationsbank 9
boatmen' 5
bancshar 10
dare 48
recogn 28
turillo 1
llp 11
avenu 20
goal 227
lawrenc 8
haeg 1
unusu 81
wave 157
greatli 61
carolina-bas 3
in-market 3
branch 111
seriou 266
success 534
exampl 244
fidel 23
fallen 178
short 347
widespread 115
mid-1990 3
aren't 47
obviou 65
left 362
dillon 12
snl 2
tumbl 107
54 48
$9.7 7
mergerstat 1
angeles-bas 5
houlihan 1
lokei 1
howard 43
zukin 1
susan 40
michaelson 1
kelbick 1
assist 162
broadli 53
bancorp 19
1-9/16 1
38-1/2 2
tennesse 8
1 546
34-3/8 2
commerc 181
1/4 26
35-3/4 1
northwest 61
scott 98
mcadam 20
ragen 25
mackenzi 27
sensit 109
7-1/8 1
85-1/4 1
22-1/2 3
deliber 41
salvo 9
low-bal 5
chanc 238
andrew 99
jeffrei 41
robertson 33
accept 358
rosario 2
ilacqua 2
rothschild 11
29 125
2-3/4 6
22-7/8 3
dave 15
wittig 7
note 264
appreci 47
citi 529
light 264
resolv 234
directli 172
instal 131
bargain 93
june 762
built 236
monday' 73
$368 4
westinghous 7
natur 234
ga 158
off-limit 6
govern 1601
protect 304
menu 20
presenc 173
home 96
rubbermaid 1
hurt 194
badli 65
skyrocket 13
raw 91
materi 227
depend 295
plastic 33
graco 1
children' 23
quarter 802
resin 6
reliant 7
rsearch-maxu 1
sought 152
soften 27
bad 266
$320 14
stroller 1
chair 41
textil 64
metal 206
morn 223
fear 363
impact 462
wooster 1
flat 252
year-ago 120
rubbermaid' 1
juvenil 1
tike 1
toi 14
fold 26
lorri 2
crum 1
experienc 85
disappoint 295
attribut 107
weaker 103
fisher-pric 3
mattel 7
summer 204
weather 111
inventori 80
main 559
restructur 437
demand 750
hike 108
risen 124
32 83
pound 748
47 54
there' 418
slash-and-burn 1
buy-out 14
digest 34
alert 46
devot 32
undergo 43
program 231
matur 83
supermarket 63
shelf 23
campbel 25
soup 9
oversea 273
nabisco 43
4,200 12
60 336
90 254
vision 65
hicks' 1
savviest 1
fellow 78
dalla 5
haa 5
beverag 56
soda 3
a&amp;w 3
seven-up 1
dr 21
pepper 9
squirt 1
troubl 239
1994 436
$390 5
heileman 3
brew 50
lone 11
star 117
beer 79
brewer 57
stroh 2
breweri 41
$275-$300 1
radio 155
station 192
foam 4
enabl 204
imagin 48
reiter 65
testimoni 38
convinc 130
ultim 109
shame 18
it...would 1
occur 130
fraught 15
need 418
weekend 178
draft 103
confidenti 57
companies' 58
warn 558
quick 85
easi 104
conclus 95
carv 26
distribut 271
quarterli 87
alcatel 66
alsthom 67
2.2 38
unidenifi 1
non-cor 39
caesar 3
$300 78
fresh 153
fire 199
orderli 19
wrote 118
$55-a-shar 1
anytim 16
rush 121
grant 157
permiss 87
3 159
origin 327
2.8 36
unclear 69
easiest 10
world-fam 2
arena 54
basketbal 8
ranger 4
hockei 18
high-level 38
cablevis 8
primari 100
rumour 163
relationship 177
advanc 303
partli 181
loom 38
programm 444
demonstr 245
greater 233
singl 277
bang 44
creation 88
directori 16
hire 152
morgan 168
stanlei 102
chase 33
manhattan 20
62.5 28
$58.25 2
cement 24
stalem 8
three-month-old 1
$9.4 2
sail 24
unchart 5
water 163
promis 374
53 65
amount 440
fort 38
releas 512
immin 64
favor 85
standoff 15
profil 98
cancel 122
tradit 235
fourth 385
abound 14
eventu 233
theoriz 1
repeat 171
$103 5
fame 26
$3 56
dividend 371
pacifi 1
deploi 37
superior 25
inher 9
reno 4
nev 1
implic 72
conflict 105
confront 52
sheraton/hilton 1
multipl 59
oust 31
seat 175
alter 62
brokerag 271
agreed-on 1
excel 111
arkasog 1
profession 71
beg 12
question: 4
sooner 32
daniel 83
davila 2
redshaw 2
counterclaim 2
litig 58
nevada 6
relief 60
misappropri 3
misus 7
violat 140
compel 42
merit 34
$1.625 17
$57.625 1
slip 185
$27.625 4
hint 86
long-await 48
$9.6 5
cautiou 102
optim 63
lengthi 62
galvin 6
deutsch 120
grenfel 59
head 731
access 474
linda 9
chairwoman 8
speech 173
mine 217
association' 14
network 627
dip 100
$107.25 1
$88.625 1
texaco 12
chemic 117
facil 204
privately-held 11
huntsman 1
$600 46
white 134
plain 31
n.y.-bas 18
bulk 83
concentr 170
core 273
salt 23
lake 41
utah-bas 6
propylen 1
oxide/methyl 1
tertiari 3
butyl 1
ether 1
po/mtb 1
plant 385
nech 1
adjac 16
capac 320
400 131
oxid 10
15,000 29
barrel 66
mtbe 1
gasolin 15
petrochem 9
furnish 7
specialti 31
basf 10
cleaner-burn 1
blend 18
texaco' 1
diversif 19
list 406
27,000 7
jon 21
family-own 7
huntsman' 1
expir 96
abid 28
jr 28
eldest 14
son 135
po 8
robust 68
optimist 141
global 459
explod 59
environment 77
mandat 48
7 123
overblown 5
realist 55
transform 152
topeka 4
kansas-bas 1
belief 55
hay 21
shareown 2
simpli 134
ignor 102
ashcroft 2
$15 70
$7.50 6
12 508
$20.125 2
climb 163
$2.625 10
$22.75 1
resources' 4
$31.25 4
99 26
await 108
$5 62
mount 109
$1.9 18
mo.-bas 8
oklahoma-bas 2
oneok 3
$660 11
oklahoma 15
utility' 4
client 201
valuabl 53
better-focus 1
1-3/4 6
57-3/4 1
agreed-upon 1
refus 213
well-plan 2
burden 67
reaction 125
richer 15
ratio 112
speedier 7
appeas 20
reportedli 35
even 93
quicker 15
conduct 155
csc 4
abstain 8
lewi 19
detroit 86
clai 11
mundai 4
duti 98
misl 6
abstent 2
lewis' 3
$43 14
$88.375 3
fairli 133
solut 138
press 320
raspi 1
voic 146
tight-lip 8
prematur 25
type 169
settlement 139
i'm 235
mind 121
sit 136
spoken 37
convers 89
audienc 61
dealt 46
fuell 101
inc' 39
tight 171
race 106
closer 137
tell 81
vote...norfolk' 1
jame 208
higgin 9
happen 267
deadli 20
withdraw 87
$2.9 17
loewen 9
temper 23
funer 43
europ 539
reap 60
heiligbrodt 1
business...we'r 1
withdrew 29
four-month-old 3
competitor 285
incur 55
minim 55
prime 345
toronto-bas 63
memori 91
orleans-bas 16
stewart 41
enterpris 193
fine 102
associ 521
loewen' 2
torrid 1
merchant 64
blackston 4
myriad 11
remov 200
surround 103
1-7/8 6
29-1/2 1
prudent 35
word 109
'discipline,' 1
dean 65
witter 44
todd 10
richter 2
applaud 41
caught 53
arsen 3
well-known 29
possibl 224
owner 177
caesar' 1
disrupt 95
65 96
42-5/8 1
rebound 60
expenditur 97
deck 15
stack 13
longmir 2
wyser-pratt 3
spend 441
updat 69
desert 22
inn 16
resort 51
$160 8
renov 14
poor' 32
downgrad 53
outlook 209
neg 162
stabl 133
break-up 30
bing 6
excit 116
$550 14
spun 55
hartford 2
two-year 57
absenc 33
stane 1
todai 297
rumor 71
russia' 112
norilsk 15
nickel 46
arctic 19
behemoth 15
slave 4
labour 261
struggl 301
slim 31
workforc 89
thousand 162
worker 315
quit 65
oleg 7
budargin 2
deputi 273
flagship 67
metallurg 5
complex 147
10,000 90
appli 179
non-ferr 15
preciou 31
1935 4
forced-labour 1
gulag 6
soviet 69
repress 28
scrap 76
legaci 38
achiev 305
trim 108
resettl 11
psycholog 22
think 80
wake 67
feed 93
tuck 3
bed 16
ingredi 18
stainless 10
steel 73
platinum 19
palladium 11
rao 17
norilski 7
nikel 6
trillion 88
roubl 25
$175 10
salari 76
enrich 7
heart 127
filthi 3
town 131
pension 133
free 371
entitl 39
bori 58
degtyarov 2
norilsk' 11
committe 330
ten 119
polit 666
prison 124
forcibl 1
1930 7
1940 7
di 152
barren 2
pollut 22
ecolog 7
averag 509
life 388
miser 3
boast 27
chechen 4
refuge 16
homeless 4
boiler 3
cloakroom 1
miniscul 4
subsidis 22
heavier 17
entir 216
expens 289
eager 79
avert 30
strike 274
threat 235
peac 127
upset 37
arrear 23
output 218
shed 36
adequ 47
warmer 9
climat 38
wound 51
protocol 22
oblig 72
120,000 21
payrol 21
miner 170
20,000 58
metallurgist 2
70,000 16
auxiliari 2
retir 189
brainchild 7
uneximbank 9
complex' 3
mikhail 5
steklov 2
wai 154
revamp 55
rid 33
non-effect 1
master 29
suburb 19
300,000 62
popul 145
complain 142
800 73
bakeri 13
hous 535
outfit 20
russia 166
$ 191
5749 2
russian 133
moscow 89
newsroom 792
7095 36
941 36
8520 36
tariff 78
payer 8
jolt 20
aluminium 48
export 468
galina 2
stelmakova 2
kontsern 9
alyuminii 9
producers' 13
streamlin 48
econom 781
smelter 41
minist 678
nemtsov 6
monopoli 175
domest 577
drop 503
user 231
elig 34
account 787
tonn 336
yuri 20
shlaifshtein 4
bratsk 10
leaner 16
siberian 21
plant' 13
longterm 4
foreign 945
modernis 46
2.44 4
2.87 9
reduct 158
evenli 6
so-cal 226
highest 148
irkutsk 4
per-tonn 1
$1,200 9
sharp 186
contrast 95
arlyuk 3
st 96
petersburg 3
russia-bas 2
alumconsult 3
kandalaksha 3
nadvoiski 1
volgograd 1
solvent 4
promissori 2
front 176
nemstov' 1
wider 63
spark 181
plummet 43
breakup 22
iron 74
hydroelectr 9
railwai 54
young 183
reform 381
24 188
16 278
oil-for-sugar 1
barter 13
cuba 13
stapl 19
sour 26
principl 93
intrud 8
leftov 2
communist-era 19
practic 217
swap 78
unencumb 2
inconveni 13
commod 115
cold 83
realiti 64
stall 56
implement 184
arrang 178
alfa-eko 2
menatep-impex 1
sticki 4
sugar 30
ow 57
havana 4
200,000 85
cane 8
ahead 623
deliv 256
amic 37
1960 52
cheap 91
cuban 8
crop 143
wildly-infl 1
pick 222
cuba' 1
credit 408
harvest 88
scrambl 71
longer 284
communist 427
holdout 2
carribean 1
resel 38
crude 59
refineri 38
steadi 159
feedstock 7
menatep 3
formula 51
secret 112
ukrainian 8
flood 93
glut 14
rethink 7
honestli 6
storag 57
fee 177
kill 154
three-year 73
cover 376
1996-1998 1
interfax 12
envisag 23
2.1 31
3.9 22
4.5 74
750,000 17
1.5 143
